Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Loadage,268951863,61773456,13441098,14373492,16241485,17717381,5,5,5,5,69,17,18,16,18,4,4,4,4,1,4,4,4,4,2,0,3,4,4,4,1,4,4,4,2,4,0,20,3,7,7,3,2,0,1,0,1
ilekkund2,148163689,49226705,11621120,13743820,13094704,10767061,5,5,5,5,56,16,20,12,8,3,4,4,4,1,4,4,4,4,4,0,3,4,0,4,1,4,0,0,1,3,0,34,2,15,0,17,0,0,0,0,0
Raion Ren,619572297,50288316,10293033,11590768,16478494,11926021,4,2,5,3,45,16,8,14,7,4,4,4,4,0,4,4,0,0,0,0,1,4,4,4,1,3,4,0,0,0,0,13,2,3,8,0,0,0,0,0,0
MINI Azryl,932489599,58523490,13172946,14982455,16491454,13876635,5,6,5,5,70,17,20,17,16,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,1,3,4,4,2,3,0,21,2,2,3,14,2,0,1,0,1
TinyBubbles,716417922,38811368,12208489,10264884,16172951,165044,5,2,5,0,36,13,7,16,0,4,4,0,4,1,3,4,0,0,0,0,3,4,4,4,1,0,0,0,0,0,0,22,1,7,6,8,0,0,0,0,0
Sultan2309,938542548,50709012,10487411,12934029,12149475,15138097,5,5,5,6,64,14,19,14,17,2,4,4,3,1,3,4,4,4,4,0,2,4,4,4,0,3,4,4,2,4,0,29,6,7,7,9,0,0,0,0,0
Robbie Brady,349451219,56298813,11223766,13515661,16032257,15527129,5,5,5,6,49,8,14,14,13,1,4,0,2,1,2,2,3,4,3,0,1,4,4,4,1,4,4,0,2,3,0,18,2,1,2,13,0,0,0,0,0
Epsil0n Actual,933247321,56216915,13262120,15341845,14788895,12824055,5,5,5,5,65,14,18,17,16,2,4,4,4,0,3,4,4,4,3,0,4,4,4,4,1,3,4,4,2,3,0,45,3,28,10,4,0,0,0,0,0
Shotwell,843553429,40382898,7711589,0,15658521,17012788,2,0,4,5,36,8,0,12,16,4,4,0,0,0,0,0,0,0,0,0,3,4,0,4,1,4,4,4,1,3,0,34,7,0,8,19,0,0,0,0,0
JacenCaedus,634487631,54026940,10415448,13684116,14773726,15153650,5,5,5,6,47,6,15,12,14,1,3,0,1,1,3,4,4,0,4,0,3,4,0,4,1,2,4,4,1,3,0,10,3,2,2,3,0,0,0,0,0
Zlada14,825875376,46045971,10777853,5626553,15435779,14205786,5,2,5,6,46,11,6,16,13,2,3,4,1,1,4,0,0,0,2,0,3,4,4,4,1,1,3,4,2,3,0,18,3,6,0,9,0,0,0,0,0
Baxston Kane,473373554,57050860,12453963,15220113,15104515,14272269,5,5,5,5,60,15,20,13,12,4,4,4,3,0,4,4,4,4,4,0,4,4,0,4,1,3,4,0,1,4,0,2,0,0,2,0,0,0,0,0,0
ṪѦ DerHesse1505,296684579,48177105,4438512,13847922,13996441,15894230,4,5,4,5,61,12,18,15,16,4,4,0,4,0,4,4,4,4,2,0,3,4,4,4,0,3,4,4,2,3,0,14,1,4,6,3,0,0,0,0,0
Kaytee Glopio,798445437,61135004,12618460,13478235,15412932,19625377,5,6,5,6,68,17,16,16,19,4,4,4,4,1,4,4,4,0,3,1,3,4,4,4,1,4,4,4,2,4,1,30,0,8,1,21,2,0,1,0,1
MINI Zan Lucian,617569541,53338371,13461666,11035735,14757485,14083485,5,2,5,6,49,16,8,15,10,3,4,4,4,1,4,4,0,0,0,0,3,4,4,4,0,1,4,0,2,3,0,5,0,0,0,5,1,1,0,0,0
BlackMamba,259921674,55761741,12373906,13819356,14307256,15261223,5,6,5,6,66,17,19,14,16,4,4,4,4,1,3,4,4,4,4,0,2,3,4,4,1,3,4,4,2,3,0,2,0,0,2,0,1,0,1,0,0
MINI xipokemastrix,242144976,48763891,11188640,11220165,12835271,13519815,5,5,5,6,60,17,15,13,15,4,4,4,4,1,1,3,4,4,3,0,1,3,4,4,1,3,3,4,2,3,0,17,0,8,3,6,0,0,0,0,0
Tornado,975827772,47988631,10333810,12862557,12072132,12720132,5,5,5,6,51,11,17,12,11,4,4,0,2,1,3,3,4,4,3,0,1,3,4,4,0,2,4,0,1,4,0,2,0,2,0,0,0,0,0,0,0
ìN Paca,114649229,64520677,14369902,16180289,17684151,16286335,5,6,5,5,69,17,20,17,15,4,4,4,4,1,4,4,4,4,4,0,4,4,4,4,1,3,4,4,1,3,0,22,0,1,0,21,3,0,2,0,1
wamakima5004,556569861,33018904,3444577,9945348,8724375,10904604,3,3,4,6,33,7,8,10,8,2,0,0,4,1,1,3,4,0,0,0,3,4,0,3,0,2,3,0,0,3,0,11,0,7,0,4,0,0,0,0,0
Hulkster,691769393,45441908,8003271,12931443,10653900,13853294,4,5,4,6,50,11,14,13,12,2,2,3,4,0,2,4,4,0,4,0,2,3,4,4,0,4,4,0,1,3,0,12,0,3,3,6,2,0,0,1,1
MINI Zeratoark,552854579,32394521,,14589671,7814070,9990780,,5,3,2,31,,19,7,5,0,0,0,0,0,3,4,4,4,4,0,1,2,0,4,0,1,4,0,0,0,0,0,,0,0,0,0,,0,0,0
