name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Maxaron Lexilon,591283737,2760336,3564432,15583416,1,9,1,7749540,6336040,3,0,TRUE,TRUE,0,20313,FALSE,FALSE,0,0,0,2,3,,,
Wolfman,998737698,2114519,2443390,11065859,2,3,0,5459283,4559283,4,0,TRUE,TRUE,0,41613,FALSE,TRUE,0,0,0,,,,,1
Exeel,184344456,2620276,3527670,23097944,1,32,1,11451167,6164417,5,0,TRUE,TRUE,45142,0,TRUE,TRUE,0,0,0,3,4,3,4,1
Flywire,515621617,2246588,3150308,17796200,0,20,0,9305275,5398525,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,4,1,3,1
SloppySaberFlavor,671337993,2337066,3338744,17428915,1,19,0,8690995,5681245,5,0,TRUE,TRUE,0,13284,TRUE,TRUE,0,0,0,3,4,3,0,0
M1TTH,124849497,1970538,2525739,13599455,1,12,1,6375378,4498878,3,0,TRUE,TRUE,38017,0,FALSE,TRUE,0,0,0,1,2,,,1
KingPete,251751519,1865294,3108946,13935671,0,20,0,5350531,2140531,3,0,TRUE,FALSE,0,0,FALSE,TRUE,2833709,0,0,4,4,,,1
Gryphix,997239157,2710874,3872935,20302307,0,21,0,10662012,6584762,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,2,4,1,3,1
wamakima5004,556569861,2528530,3477485,19939480,0,23,0,10354015,6006015,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,1,2,1
Hirano,193884837,3061213,4302033,17846986,0,19,2,9821219,7363219,3,2,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,4,,,1
