name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Larping Soccer Moms,962753997,1393012,1838762,7288935,4,10,0,3508562,2234562,4,0,true,false,0,41808,false,false,997212,0,0,3,,1,,
Zhil Axfow,826592934,2662017,3378157,13612225,11,4,0,6474651,6040651,3,0,true,true,135426,31397,false,false,0,0,0,,,1,,
Wolfman,998737698,2074188,2401462,10809369,12,4,0,4881869,4478869,4,0,true,true,76937,37907,false,false,0,0,0,1,,,,
Guntha Arbos,248271439,2438866,3527983,11867677,17,0,2,5900828,5900828,3,0,true,false,0,81777,false,false,66021,0,0,,,,,
DorkHelmet,987949222,2498340,2742836,12256656,8,5,0,5647878,5244878,4,0,true,true,206945,29252,false,false,0,0,0,1,,,,
ExcellentNutAlt,439645938,1021112,1441931,4930922,18,0,0,2466874,2466874,3,0,true,true,126346,109304,false,false,0,0,0,,,,,
Philo Beddoe,753225541,2411841,3067709,13965276,9,10,0,7070388,5481388,4,0,true,true,50194,56111,false,false,0,0,0,4,,1,,
Loadage,268951863,2374029,2962907,16946948,8,17,0,8778688,5354688,4,0,true,true,63519,18982,false,true,0,0,0,2,2,4,,1
Nydot,992622296,1144038,1690421,4262742,31,2,0,1812411,1378411,2,0,true,false,403366,68668,false,false,1456048,0,0,,,1,,
BabyYodaHitta,629856937,1066239,1623441,6186364,18,2,0,3089353,2686353,1,0,true,true,86656,87963,false,false,0,0,0,1,,,,
Thegreatplant,416181267,2174824,2718804,12044470,35,6,0,5529542,4956042,3,0,true,true,128068,151326,false,false,0,0,0,2,,,,
ilekkund2,148163689,1999396,2449685,14259156,5,14,1,6767053,4449303,4,0,true,true,57249,13402,false,true,0,0,0,1,,3,,1
Spectrum,411242948,1967172,2342045,10985049,18,7,1,4743832,4309832,4,0,true,true,0,122195,false,false,0,0,0,,,1,,
Higgs,265535499,2142106,3092055,11969628,1,4,0,5637626,5234626,4,0,true,true,0,0,false,false,0,0,0,1,,,,
MINI xipokemastrix,242144976,1602891,2335619,10409708,25,8,0,5316198,3939198,3,0,true,true,203590,142281,false,false,0,0,0,,,4,,
The Wall,947443938,1871347,2821419,13473570,7,13,0,6382257,4705257,4,0,true,true,0,36070,false,false,0,0,0,1,3,1,,
