name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Kypomm,631928359,2667531,3666382,13430198,5,35,0,10235889,3439389,6,1,TRUE,FALSE,127600,74068,TRUE,FALSE,2894524,0,0,4,4,4,4,4,,1
Gryphix,997239157,2713540,3877012,15827312,2,35,0,12316501,6592501,6,1,TRUE,TRUE,0,62688,TRUE,FALSE,0,0,0,4,4,4,4,4,,
The Wall,947443938,1938421,2971401,14674256,0,29,0,9612386,4920386,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,2,3,4,4,4,,
MINICalens,499477827,2361856,3573439,13595942,2,28,0,11667438,5943438,6,0,TRUE,TRUE,0,48531,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Zlada14,825875376,2519156,3429285,17205128,0,32,0,10605228,5961228,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,4,4,4,,4,,
s o l o,334171458,3140940,4481235,20367767,23,37,2,12718112,5921612,7,1,FALSE,TRUE,574014,332724,TRUE,TRUE,0,1700563,0,4,4,4,4,4,0,1
wamakima5004,556569861,2538418,3487625,13251002,3,35,0,9721870,3297370,6,1,TRUE,FALSE,0,94072,TRUE,FALSE,2728673,0,0,3,4,4,4,4,,1
KingPete,251751519,1891150,3137979,10573973,0,23,1,4559994,2075994,3,0,TRUE,FALSE,0,0,FALSE,FALSE,2953135,0,0,,,,,,,
Elros Halfelven,592184954,2588885,3545738,9185691,20,22,0,7551550,3279550,5,1,TRUE,FALSE,489242,140523,FALSE,FALSE,2855073,0,0,3,4,4,,4,,
Plucky Haydon,924737972,2476203,3478674,16046992,15,36,0,9400225,3676225,5,0,FALSE,TRUE,196704,169601,TRUE,FALSE,0,2278652,0,4,4,4,4,4,,
SloppySaberFlavor,671337993,2340326,3368681,5255375,0,10,0,94694,94694,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3273987,2245632,94694,,,,,,,
M1TTH,124849497,1973705,2524945,10404046,0,20,0,9519150,4498650,5,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,,,,
Agave,148199846,2463514,3304258,9075381,15,20,1,8956006,3232006,6,1,TRUE,FALSE,237447,127451,TRUE,FALSE,2535766,0,0,4,4,4,4,4,,
Elladan Halfelven,231363518,2715129,3707929,11782428,30,19,0,11663458,6423058,6,1,TRUE,TRUE,548439,314480,TRUE,FALSE,0,0,0,4,4,4,4,3,,
Hirano,193884837,3062213,4313026,243468,0,0,0,117570,117570,0,1,FALSE,FALSE,0,0,FALSE,FALSE,4195456,2944643,117570,,,,,,,
