name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Chaunce,492994246,2874903,4016946,113301,0,0,0,113301,113301,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3903645,0,0,,,,
Maxaron Lexilon,591283737,3024223,3949515,6825515,0,15,0,6825515,3949515,4,1,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4
JustinAlexander11,283842274,2542027,4038411,132653,0,0,0,132653,132653,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3905758,0,0,,,,
ilekkund,214848174,3172724,4704598,131314,0,0,0,131314,131314,0,1,FALSE,FALSE,0,0,FALSE,FALSE,4573284,0,0,,,,
ilekkund2,148163689,2388050,3169114,118301,0,0,0,118301,118301,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3050813,0,0,,,,
ShootMeow,118543169,2968915,4168433,120135,0,0,0,120135,120135,0,1,FALSE,FALSE,0,0,FALSE,FALSE,4048298,0,0,,,,
SloppySaberFlavor,671337993,2604854,3803640,123325,0,0,0,123325,123325,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3680315,0,0,,,,
MINI Zeratoark,552854579,2853490,3995111,125277,0,0,0,125277,125277,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3869834,0,0,,,,
Dark Penguin,894569678,1959869,2662218,102208,0,0,0,102208,102208,0,1,FALSE,FALSE,0,0,FALSE,FALSE,2560010,0,0,,,,
Wil043,635417488,2207432,3581441,121914,0,0,0,121914,121914,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3459527,0,0,,,,
