name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Argarax,545871634,2359390,3821552,36221249,12,56,0,15426041,6188541,6,1,TRUE,TRUE,79792,200806,TRUE,TRUE,0,0,0,4,4,4,4,1,1
MINI Stewabob,552522334,1726018,2555170,15945457,3,36,0,8048918,2640918,4,1,FALSE,TRUE,76791,28820,TRUE,FALSE,0,1640270,0,4,4,4,4,,
Chaunce,492994246,2874903,4016946,28504337,13,37,0,15707497,6911997,6,1,TRUE,TRUE,524645,74513,TRUE,TRUE,0,0,0,3,4,4,4,1,1
Maxaron Lexilon,591283737,3024223,3949515,17815068,0,28,0,10989553,3546053,5,1,TRUE,FALSE,0,0,FALSE,TRUE,3427685,0,0,3,4,4,,1,1
JustinAlexander11,283842274,2542027,4038411,16182371,2,37,0,6194564,786564,4,1,FALSE,FALSE,50485,24453,TRUE,FALSE,3251847,1755463,786564,4,4,4,4,,
ilekkund,214848174,3172724,4704598,25919361,27,38,0,10285404,4877404,4,1,FALSE,TRUE,164116,316291,TRUE,FALSE,0,2999918,0,4,4,4,4,,
ilekkund2,148163689,2388050,3169114,22020391,22,38,0,8714565,3306565,4,1,FALSE,TRUE,128963,161774,TRUE,FALSE,0,2250599,0,4,4,4,4,,
ShootMeow,118543169,2968915,4168433,20936990,0,38,0,9577150,4169150,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2968198,0,4,4,4,4,,
SloppySaberFlavor,671337993,2604854,3803640,9200600,25,25,0,2235666,343666,2,1,FALSE,FALSE,0,0,FALSE,FALSE,3459974,2261188,343666,2,4,,,,
MINI Zeratoark,552854579,2853490,3995111,237600,0,0,0,112323,112323,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3882788,2741167,112323,,,,,,
Dark Penguin,894569678,1959869,2662218,8352825,3,16,0,8072746,2664746,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,1957341,0,4,4,4,4,,
Wil043,635417488,2207432,3581441,4293588,0,11,0,2603219,341219,2,1,FALSE,FALSE,0,0,FALSE,FALSE,3240222,1866213,341219,3,4,,,,
M1TTH,124849497,2185321,3143811,5515627,0,5,0,5422683,2405683,2,1,TRUE,FALSE,0,0,FALSE,FALSE,2923449,0,0,4,,,,1,
