name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Promethean,245711569,2230367,3076543,19485927,8,46,0,5628710,662710,4,1,FALSE,FALSE,27422,24468,TRUE,FALSE,2413833,1567657,662710,3,4,4,4,,
Elros Halfelven,592184954,2583017,3527839,20188718,4,36,0,6342767,3638767,2,1,FALSE,TRUE,107472,0,FALSE,FALSE,0,2472089,0,4,4,,,,
ShootMeow,118543169,2556589,3440512,23717719,6,49,0,8483706,3517706,4,1,FALSE,TRUE,0,24576,TRUE,FALSE,0,2479395,0,3,4,4,4,,
Masajj Vemtits,596537312,2423947,3348343,25801839,6,53,0,6180738,772738,4,1,FALSE,FALSE,63457,82888,TRUE,FALSE,2575605,1651209,772738,4,4,4,4,,
MINI BigFish,131768275,2757594,4084824,19092750,51,25,0,16093441,6855941,6,1,TRUE,TRUE,583541,339988,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Agave,148199846,2437666,3267398,22649996,37,43,1,8303190,3337190,4,1,FALSE,TRUE,64899,93926,TRUE,FALSE,0,2367874,0,3,4,4,4,,
ONE,873729113,2505008,3605706,28148883,6,42,0,11613189,6106689,6,1,TRUE,TRUE,55970,19101,TRUE,TRUE,0,0,0,2,2,3,4,0,1
OttoVonGens,994659641,2762179,4051616,30826868,9,52,0,13955289,6824789,6,1,TRUE,TRUE,50909,135289,TRUE,TRUE,0,0,0,3,4,4,4,0,1
Chaunce,492994246,2664414,3544667,24506603,7,37,0,11640913,6232913,4,1,TRUE,TRUE,62058,75247,TRUE,FALSE,0,0,0,4,4,4,4,,
AKB,461667365,2348404,3297331,23706954,3,51,0,8766015,3358015,4,1,FALSE,TRUE,53829,42655,TRUE,FALSE,0,2287720,0,4,4,4,4,,
M1TTH,124849497,1970538,2525739,13955143,3,26,3,3871665,2519665,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1976612,0,4,,,,,
