AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
634487631,"JacenCaedus","Lotrguru#9235",235950285569130496,4378934,3253668,250,9,18,119,157,2,0,1,26,12,37,5,25,13,0,232,679,273,83,22,5,5.67,5.02,10.69
884121445,"Nom","Nom Polustra#4120",308607829789638659,4386062,3122536,247,25,38,99,142,2,1,3,32,11,27,2,23,0,0,191,591,209,57,16,2,4.29,4.36,8.65
118543169,"ShootMeow","Shootmeow#3818",364036978100142082,4293599,3073537,247,27,50,77,162,5,0,0,12,11,30,4,14,5,1,351,468,166,48,9,3,3.44,3.88,7.32
124849497,"M1TTH","!M1TTH#8698",225968934757597185,3230669,2341791,200,16,27,41,106,1,2,3,3,0,19,3,7,2,0,153,219,66,31,6,1,1.94,2.66,4.6
144353549,"Wolfman314","Wolfman314#6474",383120386390491136,3990661,2968392,233,18,50,66,132,3,0,5,9,11,21,2,14,4,0,216,453,167,54,12,0,3.8,3.57,7.37
148163689,"ilekkund2","ilekkund#8475",322358812176809984,3249830,2416775,216,14,15,70,124,3,0,0,21,3,23,4,13,6,0,186,377,143,52,15,2,4.12,4,8.12
148199846,"Agave","Agave#6806",393394507586076672,3985424,2903306,244,19,28,74,136,5,3,2,17,4,22,4,17,4,0,245,495,208,72,11,2,4.7,3.61,8.31
214848174,"ilekkund","ilekkund#8475",322358812176809984,4791537,3326334,264,21,46,110,181,4,1,2,23,4,40,5,22,12,0,234,579,212,80,15,4,4.06,4.71,8.77
222784581,"KaStarkiller","domobray(KAStarkiller)#9478",348849431199744010,2635184,2047472,172,10,14,45,81,2,4,0,6,0,20,1,11,3,0,126,187,64,26,7,1,2.3,3.21,5.51
242144976,"MINI xipokemastrix","xIPokemastrIx#2005",347773837267435521,2903006,2059580,192,9,19,56,106,2,5,1,14,1,17,5,11,2,0,223,423,178,47,6,2,5.35,3.7,9.05
245711569,"Promethean","Promethean#3008",324684473943982082,3555555,2635172,230,24,34,61,111,1,0,0,11,7,24,4,11,4,0,240,503,187,52,17,2,4.79,3.55,8.33
247341668,"Obi Won Sebroni","Obiwon Sebroni The Fallen#6237",729499514347454495,2904479,2077138,190,8,18,45,67,1,0,0,7,0,23,0,11,4,0,136,226,76,20,4,1,2.31,3.17,5.48
248271439,"Guntha Arbos","guntha arbos#0996",596386520982880284,4222086,2821833,232,23,44,85,173,3,14,5,21,7,16,5,14,3,0,240,324,123,63,13,3,2.81,4.03,6.85
265535499,"Higgs","Higgs#0298",351950185779298305,3526331,2520800,201,16,42,65,113,1,0,8,28,11,12,4,2,0,0,136,317,119,21,4,0,2.89,3.64,6.53
268951863,"Loadage","Loadage#1450",242793336262361088,4055251,2927447,242,16,12,80,128,4,1,1,17,9,24,2,16,7,0,168,428,146,65,23,3,3.54,3.6,7.14
416984533,"Theflavorgreen","theflavorgreen#9250",367649110221783043,3796155,2460722,210,21,34,49,101,3,0,1,4,10,8,5,14,5,2,160,263,86,22,3,1,1.98,3.03,5.01
461667365,"AKB","akb#7955",322799454329634816,3985951,2713593,238,19,45,72,150,5,0,1,17,1,27,6,15,5,0,188,315,123,31,4,3,2.68,3.95,6.63
473373554,"Baxston Kane","Baxston Kane#5600",504378520454299658,4294249,3093298,245,20,45,68,154,3,8,1,13,2,14,4,23,3,0,155,407,105,36,7,1,2.22,3.37,5.59
492994246,"Chaunce","Chaunce#1601",327048391215546368,4146648,3064327,251,16,27,86,159,1,1,1,18,8,28,6,20,4,0,292,435,151,37,6,4,3.18,3.98,7.16
494485598,"TWill88","twill88#0974",447228317175906315,3826745,2846527,253,8,18,76,112,0,2,2,18,3,24,4,18,5,0,166,404,140,49,10,3,3.34,3.71,7.05
