AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
884121445,Nom,Nom Polustra#4120,3.08608E+17,4101160,2952462,239,22,43,90,133,0,0,3,33,11,22,2,19,0,0,172,522,185,50,3,1,3.9,4.31,8.2
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,4099151,2944931,240,30,45,69,152,3,0,0,11,11,27,5,10,5,0,328,437,148,40,8,2,3.2,3.61,6.81
124849497,M1TTH,!M1TTH#8698,2.25969E+17,2952425,2106020,191,15,31,35,105,1,2,3,4,0,15,3,6,2,0,145,197,58,30,5,1,1.88,2.68,4.56
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3858536,2810280,230,18,52,57,122,2,0,2,8,10,19,2,14,2,0,186,428,145,46,11,0,3.42,3.36,6.78
148163689,ilekkund2,ilekkund#8475,3.22359E+17,3104383,2388104,213,12,19,63,115,3,0,0,17,3,23,4,11,5,0,181,364,135,47,15,1,4.07,3.82,7.89
148199846,Agave,Agave#6806,3.93395E+17,3853043,2743588,237,22,25,68,130,2,3,3,16,3,19,4,16,4,0,227,490,197,62,10,2,4.57,3.46,8.03
214848174,ilekkund,ilekkund#8475,3.22359E+17,4640899,3171686,259,21,47,102,175,3,1,0,21,2,40,4,22,12,0,212,537,202,70,13,3,3.95,4.64,8.59
222784581,KaStarkiller,domobray(KAStarkiller)#9478,3.48849E+17,2509735,1919748,164,13,12,41,71,2,2,1,5,0,19,1,9,3,0,103,177,54,23,4,1,2,3.07,5.07
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2736058,1944152,181,11,20,46,99,1,3,1,12,1,15,3,9,2,0,205,384,160,40,5,2,5.08,3.33,8.41
245711569,Promethean,Promethean#3008,3.24684E+17,3495943,2479717,228,23,32,61,107,1,0,0,11,7,24,4,11,4,0,237,491,183,52,17,2,4.78,3.64,8.42
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2692573,1820497,176,10,17,37,60,1,0,0,3,0,22,0,8,4,0,126,195,65,14,4,1,2.12,2.95,5.08
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,4030838,2728677,220,22,40,82,161,1,15,4,20,8,14,5,13,3,0,216,306,116,53,12,3,2.74,4,6.75
265535499,Higgs,Higgs#0298,3.5195E+17,3432626,2414710,197,17,43,60,112,0,0,8,27,13,7,3,2,0,0,123,290,110,18,4,0,2.74,3.53,6.26
268951863,Loadage,Loadage#1450,2.42793E+17,3816652,2800732,233,15,14,72,116,2,1,0,15,8,23,2,16,6,0,144,399,134,53,17,2,3.35,3.51,6.86
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3659504,2274661,199,22,34,44,96,2,0,0,3,8,9,4,14,4,2,147,252,80,18,3,1,1.9,2.95,4.85
461667365,AKB,akb#7955,3.22799E+17,3871575,2529589,232,22,39,68,145,3,0,1,13,2,28,5,15,4,0,183,285,115,28,2,2,2.55,3.86,6.41
473373554,Baxston Kane,Baxston Kane#5600,5.04379E+17,4100424,2940456,242,15,46,63,139,2,9,1,11,2,11,5,21,3,0,144,359,95,28,7,1,2.09,3.33,5.42
492994246,Chaunce,Chaunce#1601,3.27048E+17,3973784,2867309,250,15,28,81,150,1,1,0,18,8,25,6,20,2,0,278,428,135,31,4,3,2.93,3.96,6.9
499477827,Calens,Calens#9082,5.66925E+17,3926160,2611196,232,19,30,67,127,0,3,1,13,10,25,3,12,0,0,193,330,109,28,4,2,2.42,3.46,5.88
