CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,852762117,Revanchist,Revanchist#9559,603
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,349451219,Robbie Brady,Robbie Brady#7103,278
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,283842274,JustinAlexander11,JustinAlexander11#1023,517
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,245711569,Promethean,Promethean#3008,425
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,996614779,Jables,Jables#9173,359
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,569523671,Seeya,Seeya#2985,303
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,615713739,Ky Zeth,Ky Zeth#6539,658
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,363
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,436483225,Dr N00b,Thɑɳɑthѳs#6579,465
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,519
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,558
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,114649229,ìN Paca,Paca#8479,590
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,929389526,Tommyboy85,tommyboy#3739,561
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,753225541,Philo Beddoe,Handleman20#4805,364
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,268951863,Loadage,Loadage#1450,618
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,214848174,ilekkund,ilekkund#8475,513
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,148163689,ilekkund2,ilekkund#8475,333
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,347
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,619572297,Raion Ren,raion_ren#6463,398
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,572892187,WookieeWarrior,teepeepdx#7802,478
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,435886464,Z Xm,Z_Xm#5894,327
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,732694944,Savage1bat,⁦savage1bat⁩#7887,709
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,354754647,BladeBR,Edem#5643,560
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,843553429,Shotwell,Shotwell#0501,492
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,397
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,997239157,Gryphix,Gryphix#1116,418
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,634487631,JacenCaedus,Sala#2238,492
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,500
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,932489599,MINI Azryl,Azryl#1591,534
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,513125742,MarkKenoburger,kenoburger#9903,324
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,884121445,Nom,Nom Polustra#4120,517
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,716417922,TinyBubbles,TinyBubbles31#0228,311
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,994659641,OttoVonGens,OttoVonGens#2822,607
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,933247321,Epsil0n Actual,RandyCliptic#9400,454
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,975827772,Tornado,tornado#478,349
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,545871634,Argarax,Kazrud#2235,433
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,815682328,SotDO,SotDo#3618,317
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,137256197,Japolock,Japolock#2870,510
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,745483876,Foreigner,⁦Foreigner⁩#2714,691
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,442735849,PDXwing,PDXwing#6655,474
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,492994246,Chaunce,Chaunce#1601,381
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,473373554,Baxston Kane,Baxston Kane#5600,342
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,471
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,667756347,SilentVader,SilentVader#5511,430
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,617569541,MINI Zan Lucian,Zan Lucian#8522,594
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,259921674,BlackMamba,Jeremy#5183,492
1.66447E+12,vs. SSA LeagueOfNorthmen,stars,938542548,Sultan2309,Sultan2309#7453,472
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,852762117,Revanchist,Revanchist#9559,368
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,349451219,Robbie Brady,Robbie Brady#7103,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,283842274,JustinAlexander11,JustinAlexander11#1023,398
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,245711569,Promethean,Promethean#3008,248
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,996614779,Jables,Jables#9173,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,569523671,Seeya,Seeya#2985,248
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,615713739,Ky Zeth,Ky Zeth#6539,398
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,274
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,436483225,Dr N00b,Thɑɳɑthѳs#6579,368
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,274
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,114649229,ìN Paca,Paca#8479,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,929389526,Tommyboy85,tommyboy#3739,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,753225541,Philo Beddoe,Handleman20#4805,308
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,268951863,Loadage,Loadage#1450,342
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,214848174,ilekkund,ilekkund#8475,368
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,148163689,ilekkund2,ilekkund#8475,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,214
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,619572297,Raion Ren,raion_ren#6463,398
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,572892187,WookieeWarrior,teepeepdx#7802,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,435886464,Z Xm,Z_Xm#5894,308
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,732694944,Savage1bat,⁦savage1bat⁩#7887,398
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,354754647,BladeBR,Edem#5643,308
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,843553429,Shotwell,Shotwell#0501,308
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,218
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,997239157,Gryphix,Gryphix#1116,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,634487631,JacenCaedus,Sala#2238,492
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,372
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,932489599,MINI Azryl,Azryl#1591,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,513125742,MarkKenoburger,kenoburger#9903,248
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,884121445,Nom,Nom Polustra#4120,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,716417922,TinyBubbles,TinyBubbles31#0228,218
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,994659641,OttoVonGens,OttoVonGens#2822,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,933247321,Epsil0n Actual,RandyCliptic#9400,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,975827772,Tornado,tornado#478,218
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,545871634,Argarax,Kazrud#2235,278
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,815682328,SotDO,SotDo#3618,218
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,137256197,Japolock,Japolock#2870,244
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,745483876,Foreigner,⁦Foreigner⁩#2714,398
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,442735849,PDXwing,PDXwing#6655,282
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,492994246,Chaunce,Chaunce#1601,308
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,473373554,Baxston Kane,Baxston Kane#5600,248
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,667756347,SilentVader,SilentVader#5511,372
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,338
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,259921674,BlackMamba,Jeremy#5183,248
1.66447E+12,vs. SSA LeagueOfNorthmen,set_defense_stars,938542548,Sultan2309,Sultan2309#7453,274
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,852762117,Revanchist,Revanchist#9559,235
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,283842274,JustinAlexander11,JustinAlexander11#1023,119
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,245711569,Promethean,Promethean#3008,177
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,996614779,Jables,Jables#9173,81
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,569523671,Seeya,Seeya#2985,55
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,615713739,Ky Zeth,Ky Zeth#6539,260
1.66447E+12,vs. SSA LeagueOfNorthmen,attack_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,89
