AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,4043574,2840952,240,30,45,65,151,2,0,0,10,11,25,4,10,5,0,317,429,144,38,8,2,3.16,3.52,6.68
124849497,M1TTH,!M1TTH#8698,2.25969E+17,2856105,2077617,186,17,29,34,103,0,2,3,3,0,15,3,6,2,0,132,183,55,25,5,0,1.82,2.66,4.48
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3773181,2739504,228,17,52,55,121,1,0,2,8,9,18,2,15,1,0,189,402,147,47,11,0,3.54,3.35,6.89
148163689,ilekkund2,ilekkund#8475,3.22359E+17,3048548,2378905,213,12,17,61,112,2,0,0,19,4,20,2,11,5,0,173,342,127,45,14,1,3.9,3.69,7.6
148199846,Agave,Agave#6806,3.93395E+17,3758154,2703043,232,20,24,67,126,2,3,3,16,3,18,4,16,4,0,221,464,189,62,10,2,4.51,3.47,7.98
184344456,Exeel,Exel#7395,2.71667E+17,3936228,2916761,234,7,28,96,142,1,1,0,22,8,32,5,19,9,0,264,447,159,54,7,4,3.61,4.68,8.29
188434999,JamesBond007,JamesBond#3273,6.6964E+17,3388111,2542766,197,22,28,68,114,1,1,0,17,11,22,4,12,1,0,155,248,79,18,4,1,2.04,3.85,5.9
214848174,ilekkund,ilekkund#8475,3.22359E+17,4539311,3158260,258,21,46,99,165,2,0,0,23,2,39,5,20,10,0,214,515,197,71,14,3,3.97,4.55,8.52
231363518,Komitadji Halfelven,Komitadji#3550,6.91449E+17,4022434,2859280,230,16,40,78,146,1,3,2,21,1,30,3,15,3,0,204,341,139,40,5,3,3.04,3.94,6.97
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2687640,1883561,180,13,21,41,99,1,3,1,8,1,14,3,9,2,0,189,369,149,37,5,2,4.82,3.14,7.96
245711569,Promethean,Promethean#3008,3.24684E+17,3421415,2382626,227,23,33,55,106,1,0,0,12,7,20,4,10,2,0,225,479,174,50,16,2,4.64,3.41,8.06
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2548877,1798394,171,11,13,35,51,1,0,0,3,1,21,0,8,2,0,119,187,59,10,2,0,1.98,2.79,4.77
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,3936263,2697737,218,22,39,79,158,0,14,4,20,7,15,4,13,2,0,215,281,115,53,10,3,2.76,3.93,6.69
265535499,Higgs,Higgs#0298,3.5195E+17,3377988,2408714,196,18,44,56,115,0,0,8,23,13,7,3,2,0,0,115,288,106,18,3,0,2.67,3.4,6.07
268951863,Loadage,Loadage#1450,2.42793E+17,3732166,2775069,231,17,13,68,116,2,1,0,14,8,22,2,14,6,0,141,382,131,51,17,2,3.35,3.36,6.72
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3588898,2258853,196,20,33,43,93,2,0,0,4,8,7,4,15,3,2,139,238,77,16,2,1,1.84,2.91,4.75
461667365,AKB,akb#7955,3.22799E+17,3764146,2529116,227,24,34,67,133,2,0,1,13,2,28,5,14,4,0,183,296,116,27,2,2,2.64,3.79,6.43
473373554,Baxston Kane,Baxston Kane#5600,5.04379E+17,4004221,2924948,242,17,43,61,143,1,8,1,12,2,10,4,22,2,0,150,312,80,24,5,1,1.79,3.25,5.04
492994246,Chaunce,Chaunce#1601,3.27048E+17,3907778,2851919,248,17,28,78,144,1,0,0,19,8,24,6,19,2,0,267,408,127,30,4,3,2.81,3.89,6.71
499477827,Calens,Calens#9082,5.66925E+17,3884681,2592194,231,20,29,65,132,0,1,1,14,10,25,3,11,0,0,167,306,99,26,3,2,2.22,3.4,5.62
515621617,Flywire,Flywire#0662,1.31625E+17,3499414,2397620,217,28,20,66,122,1,0,6,19,0,20,2,17,2,0,181,330,112,32,8,2,2.88,3.66,6.54
545871634,Argarax,Kazrud#2235,5.06545E+17,3711512,2245023,196,9,9,98,90,1,1,1,17,3,34,5,23,12,1,189,354,102,46,10,4,2.61,5.27,7.88
552854579,MINI Zeratoark,Zeratoark#9535,2.66724E+17,3886046,2733028,236,8,44,81,128,0,2,6,12,5,24,5,15,6,0,176,554,212,73,18,2,5.02,4.26,9.28
556569861,wamakima5004,wamakima5004#0097,1.31408E+17,3699856,2701575,243,13,46,69,148,1,0,0,13,14,15,7,16,3,0,182,395,154,37,2,2,3.56,3.97,7.53
