name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
BOHICA,827612656,2982613,4010727,47456736,49,67,1,13868235,7022235,5,1,TRUE,TRUE,678148,69420,FALSE,TRUE,0,0,0,2,3,3,4,,1
ONE,873729113,2547011,3682287,34647747,11,49,4,9506798,6229298,5,0,TRUE,TRUE,0,33820,FALSE,FALSE,0,0,0,2,3,4,,,
Dark Penguin,894569678,1830176,2421598,38534918,22,64,0,10734484,4251984,5,0,TRUE,TRUE,107323,44728,FALSE,TRUE,0,0,0,2,2,3,4,,1
Plucky Haydon,924737972,2476433,3545295,10605432,30,20,0,7052283,2958283,2,0,TRUE,FALSE,631123,311999,FALSE,TRUE,3063445,0,0,4,,,,,1
Larping Soccer Moms,962753997,1483201,1924894,24819078,21,52,0,6523595,3408095,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,3,3,,,
OttoVonGens,994659641,2796787,4175591,32842378,7,49,0,13519162,6943162,5,0,FALSE,TRUE,67467,63307,FALSE,TRUE,0,29216,0,1,3,3,4,,1
Gryphix,997239157,2727864,3907495,39936997,0,64,0,9428594,3257594,5,0,TRUE,FALSE,0,0,FALSE,TRUE,3377765,0,0,3,3,4,,,1
Doomslug the Destroyer,549766237,1798225,2372923,30797676,6,45,1,8819648,4171148,5,0,TRUE,TRUE,0,28990,FALSE,TRUE,0,0,0,1,2,3,,,1
The Wall,947443938,1984441,3063577,28262665,17,49,0,6935462,5045462,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,1,1,2,,
joker,976597667,2003303,3052172,32017230,10,45,0,10700975,5055475,4,0,TRUE,TRUE,0,181290,FALSE,TRUE,0,0,0,3,3,3,,,1
EvilCoyote2011,997394645,2334496,3573137,40414678,1,63,3,11501133,5907633,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,2,2,3,,1
MINI Stewabob,552522334,1427415,2047828,26743510,2,46,0,5593941,3475441,4,0,TRUE,TRUE,0,17674,FALSE,FALSE,0,0,0,1,2,3,,,
