Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
MINI xipokemastrix,242144976,36171934,2551663,12556231,9389533,11674507,3,7,4,6,59,11,21,16,11,3,4,4,0,4,4,4,4,3,1,1,4,4,4,4,0,0,1,2,3,4,0,1,34,0,0,28,6,0,0,0,0,0
Masajj Vemtits,596537312,28750293,3816924,8616264,6677404,9639701,4,4,2,5,53,16,16,8,13,4,4,4,4,4,4,4,0,4,0,0,4,4,0,0,0,0,2,3,3,4,1,0,1,0,0,0,1,0,0,0,0,0
Jables,996614779,26060981,113040,95107,9743531,16109303,0,0,4,6,31,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,3,4,4,1,1,6,0,0,6,0,0,0,0,0,0
Chaunce,492994246,46883138,114219,13384751,16459372,16924796,0,5,6,6,53,0,20,17,16,0,0,0,0,4,4,4,4,4,0,0,3,4,4,4,1,1,2,4,4,4,1,1,10,0,2,3,5,1,0,0,0,1
wamakima5004,556569861,27400171,110767,9736691,3122311,14430402,0,5,2,6,42,0,20,8,14,0,0,0,0,4,4,4,4,4,0,0,4,4,0,0,0,0,2,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0
Bitz Maidenhell,589218854,18243610,117232,2753947,1578136,13794295,0,2,1,6,23,0,8,4,11,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,1,2,3,3,1,1,1,0,0,0,1,0,0,0,0,0
MINI Zeratoark,552854579,20070525,127584,8960564,112368,10870009,0,4,0,5,31,0,16,0,15,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Grand Admiral2,759727896,7744759,,108749,108749,7391809,,0,0,5,15,,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,0,0,,0,0,0,1,,0,0,1
M1TTH,124849497,15420808,,239605,8267795,6913408,,0,2,4,17,,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,3,3,0,0,5,,5,0,0,0,,0,0,0
Jed1Mast3rDallas,484789943,13877809,,1220365,2986304,9671140,,1,2,5,25,,4,8,13,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,2,2,4,4,1,0,0,,0,0,0,1,,0,1,0
Agave,148199846,30283114,,9573732,4591275,16118107,,5,1,6,38,,19,4,15,0,0,0,0,3,4,4,4,4,0,0,4,0,0,0,0,0,2,3,3,4,2,1,23,,0,0,23,0,,0,0,0
