name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
MINI Stewabob,552522334,1311119,1894223,18014616,0,18,0,6945183,3215233,3,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,,2,,1
Maxaron Lexilon,591283737,2760336,3564432,26416348,1,17,1,10832932,6336757,4,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,,3,,1
Wolfman,998737698,2114519,2443390,17860027,9,5,0,6794168,4560168,2,0,TRUE,TRUE,0,103834,FALSE,TRUE,0,0,0,1,,,,1
Exeel,184344456,2620276,3527670,28391679,1,36,1,5293735,3540560,2,0,TRUE,FALSE,0,0,FALSE,FALSE,2607386,0,0,1,,3,,
Flywire,515621617,2246588,3150308,24084128,0,29,0,6287928,3153428,3,0,TRUE,FALSE,0,0,FALSE,FALSE,2243468,0,0,3,3,,3,
SloppySaberFlavor,671337993,2337066,3338744,22835397,1,24,0,5406482,3344982,2,1,TRUE,FALSE,0,0,FALSE,FALSE,2330828,0,0,1,,,4,
M1TTH,124849497,1970538,2525739,16559743,1,13,3,2960288,2526288,2,0,TRUE,FALSE,0,0,FALSE,FALSE,1969989,0,0,1,,,,
KingPete,251751519,1865294,3108946,18764934,0,27,0,4829263,2335013,4,0,TRUE,FALSE,0,0,FALSE,FALSE,2639227,0,0,2,3,,2,
Gryphix,997239157,2710874,3872935,26613843,0,35,0,6311536,973111,4,1,FALSE,FALSE,0,0,TRUE,FALSE,2899824,1737763,973111,3,4,3,4,
wamakima5004,556569861,2528530,3477485,26222319,1,31,0,6282839,3477839,3,0,TRUE,FALSE,0,27625,FALSE,FALSE,2528176,0,0,3,3,,2,
Hirano,193884837,3061213,4302033,25812787,0,30,3,7965801,3612101,5,1,TRUE,FALSE,0,0,TRUE,TRUE,3751145,0,0,1,4,2,4,0
