"CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score"
"1657558800000,vs. Sicario Brotherhood,disobey,929389526,Tommyboy85,tommyboy#3739,10"
"1657558800000,vs. Sicario Brotherhood,disobey,997239157,Gryphix,Gryphix#1116,9"
"1657558800000,vs. Sicario Brotherhood,disobey,687281322,Gunslinger,Gunslinger#6920,9"
"1657558800000,vs. Sicario Brotherhood,disobey,283842274,JustinAlexander11,JustinAlexander11#1023,9"
"1657558800000,vs. Sicario Brotherhood,disobey,751844547,Mint,Mint#3056,9"
"1657558800000,vs. Sicario Brotherhood,disobey,992275427,Stargun inoza,stargun#1897,9"
"1657558800000,vs. Sicario Brotherhood,disobey,545871634,Argarax,Kazrud#2235,8"
"1657558800000,vs. Sicario Brotherhood,disobey,852762117,Revanchist,Revanchist#9559,8"
"1657558800000,vs. Sicario Brotherhood,disobey,671337993,SloppySaberFlavor,Sloppysaberflavor#9142,8"
"1657558800000,vs. Sicario Brotherhood,disobey,589218854,Bitz Maidenhell,Bitz Maidenhell#2587,7"
"1657558800000,vs. Sicario Brotherhood,disobey,515621617,Flywire,Flywire#662,7"
"1657558800000,vs. Sicario Brotherhood,disobey,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,7"
"1657558800000,vs. Sicario Brotherhood,disobey,552522334,MINI Stewabob,FupaHave#2185,7"
"1657558800000,vs. Sicario Brotherhood,disobey,596537312,Masajj Vemtits,Masajj Vemtits#4575,6"
"1657558800000,vs. Sicario Brotherhood,disobey,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,6"
"1657558800000,vs. Sicario Brotherhood,disobey,826592934,Zhil Axfow,Zhil Axfow#5696,6"
"1657558800000,vs. Sicario Brotherhood,disobey,148199846,Agave,Agave#6806,5"
"1657558800000,vs. Sicario Brotherhood,disobey,242144976,MINI xipokemastrix,xIPokemastrIx#2005,5"
"1657558800000,vs. Sicario Brotherhood,disobey,753225541,Philo Beddoe,Handleman20#4805,5"
"1657558800000,vs. Sicario Brotherhood,disobey,797491243,TacoPizza,TacoPizza#2451,5"
"1657558800000,vs. Sicario Brotherhood,disobey,492994246,Chaunce,Chaunce#1601,4"
"1657558800000,vs. Sicario Brotherhood,disobey,248271439,Guntha Arbos,guntha arbos#996,4"
"1657558800000,vs. Sicario Brotherhood,disobey,245711569,Promethean,Promethean#3008,4"
"1657558800000,vs. Sicario Brotherhood,disobey,619572297,Raion Ren,raion_ren#6463,4"
"1657558800000,vs. Sicario Brotherhood,disobey,494485598,TWill88,twill88#974,4"
"1657558800000,vs. Sicario Brotherhood,disobey,473373554,Baxston Kane,Baxston Kane#5600,3"
"1657558800000,vs. Sicario Brotherhood,disobey,148163689,ilekkund2,ilekkund#8475,3"
"1657558800000,vs. Sicario Brotherhood,disobey,996614779,Jables,Jables#9173,3"
"1657558800000,vs. Sicario Brotherhood,disobey,634487631,JacenCaedus,Sala#2238,3"
"1657558800000,vs. Sicario Brotherhood,disobey,975827772,Tornado,tornado#478,3"
"1657558800000,vs. Sicario Brotherhood,disobey,144353549,Wolfman314,Wolfman314#6474,3"
"1657558800000,vs. Sicario Brotherhood,disobey,552854579,MINI Zeratoark,Zeratoark#9535,2"
"1657558800000,vs. Sicario Brotherhood,disobey,556569861,wamakima5004,wamakima5004#0097,2"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,687281322,Gunslinger,Gunslinger#6920,698"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,634487631,JacenCaedus,Sala#2238,428"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,376"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,283842274,JustinAlexander11,JustinAlexander11#1023,368"
