"CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score"
"1654106400000,vs. The Stealth Sentinels,attack_stars,175934766,Skykiller,Skykiller#3078,400"
"1654106400000,vs. The Stealth Sentinels,attack_stars,281246885,KYLE KATARN ISTRASH,finn103#4970,368"
"1654106400000,vs. The Stealth Sentinels,attack_stars,334171458,s o l o,solo#9839,338"
"1654106400000,vs. The Stealth Sentinels,attack_stars,214848174,ilekkund,ilekkund#8475,296"
"1654106400000,vs. The Stealth Sentinels,attack_stars,929389526,Tommyboy85,tommyboy#3739,295"
"1654106400000,vs. The Stealth Sentinels,attack_stars,994659641,OttoVonGens,OttoVonGens#2822,263"
"1654106400000,vs. The Stealth Sentinels,attack_stars,513125742,MarkKenoburger,kenoburger#9903,247"
"1654106400000,vs. The Stealth Sentinels,attack_stars,837163221,PluntsNBussy,PluntsNBussy#7958,247"
"1654106400000,vs. The Stealth Sentinels,attack_stars,148199846,Agave,Agave#6806,241"
"1654106400000,vs. The Stealth Sentinels,attack_stars,268951863,Loadage,Loadage#1450,226"
"1654106400000,vs. The Stealth Sentinels,attack_stars,667457171,B417,B417#1086,217"
"1654106400000,vs. The Stealth Sentinels,attack_stars,998573883,CDangerz,CDangerz#7889,212"
"1654106400000,vs. The Stealth Sentinels,attack_stars,492994246,Chaunce,Chaunce#1601,211"
"1654106400000,vs. The Stealth Sentinels,attack_stars,852762117,Revanchist,Revanchist#9559,204"
"1654106400000,vs. The Stealth Sentinels,attack_stars,976597667,joker,General*joker#2767,200"
"1654106400000,vs. The Stealth Sentinels,attack_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,192"
"1654106400000,vs. The Stealth Sentinels,attack_stars,552522334,MINI Stewabob,FupaHave#2185,183"
"1654106400000,vs. The Stealth Sentinels,attack_stars,283842274,JustinAlexander11,JustinAlexander11#1023,168"
"1654106400000,vs. The Stealth Sentinels,attack_stars,753225541,Philo Beddoe,Handleman20#4805,161"
"1654106400000,vs. The Stealth Sentinels,attack_stars,144353549,Wolfman314,Wolfman314#6474,157"
"1654106400000,vs. The Stealth Sentinels,attack_stars,473373554,Baxston Kane,Baxston Kane#5600,156"
"1654106400000,vs. The Stealth Sentinels,attack_stars,124849497,M1TTH,!M1TTH#8698,153"
"1654106400000,vs. The Stealth Sentinels,attack_stars,148163689,ilekkund2,ilekkund#8475,146"
"1654106400000,vs. The Stealth Sentinels,attack_stars,545871634,Argarax,Kazrud#2235,145"
