name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Gryphix,997239157,2727164,3887521,30887683,0,32,0,10992969,6619769,5,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,4,4,,2,
JJ Bolte,274817496,2398666,3185962,17391907,8,19,0,20887,20887,0,0,FALSE,FALSE,0,53123,FALSE,FALSE,3165075,2377779,20887,,,,,,
Higgs,265535499,2249778,3148479,19954422,1,12,0,6420100,5405350,2,0,TRUE,TRUE,0,29758,FALSE,FALSE,0,0,0,3,,,,,
MINICalens,499477827,2379426,3603936,30002844,2,36,1,10695795,5970120,6,1,TRUE,FALSE,0,0,TRUE,TRUE,13242,0,0,3,3,4,0,3,0
M1TTH,124849497,1977120,2522357,15003724,0,10,0,1977120,1977120,0,1,TRUE,FALSE,0,0,FALSE,FALSE,2522357,0,0,,,,,,
Wolfman314,144353549,2640419,3556616,25482641,3,26,0,6440044,4048294,2,1,TRUE,FALSE,0,8659,FALSE,FALSE,2148741,0,0,3,4,,,,
The Wall,947443938,1955800,3009558,19710921,0,27,0,8113353,3025428,5,0,TRUE,FALSE,0,0,FALSE,FALSE,1939930,0,0,3,4,4,,3,
ilekkund,214848174,2964238,4170099,36727790,4,45,0,12884806,7134606,5,1,TRUE,TRUE,0,11835,TRUE,FALSE,0,0,0,2,4,4,4,2,
ilekkund2,148163689,2079400,2598876,25449720,9,32,1,9185468,4678293,5,1,TRUE,TRUE,0,77057,FALSE,FALSE,0,0,0,1,4,4,,3,
joker,976597667,1975254,2991053,15372284,1,5,0,4074917,3370917,3,1,TRUE,FALSE,0,28641,FALSE,FALSE,1595390,0,0,2,,,,,
wamakima5004,556569861,2548963,3498861,25779148,3,35,1,7453830,4265830,4,0,TRUE,FALSE,0,40937,FALSE,FALSE,1781994,0,0,1,4,4,,,
SloppySaberFlavor,671337993,2350393,3400231,23508273,2,27,1,6157555,3403555,2,0,TRUE,FALSE,0,64936,FALSE,FALSE,2347069,0,0,4,4,,,,
Chaunce,492994246,2750942,3641832,33688218,10,41,0,12470488,6409538,6,1,TRUE,TRUE,0,161289,TRUE,TRUE,0,0,0,3,4,4,4,2,0
ShootMeow,118543169,2628758,3630363,24301423,0,17,0,7978026,6259276,2,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,3,,,,
Maxaron Lexilon,591283737,2789280,3609613,25174638,0,25,0,7686490,3432890,6,1,TRUE,FALSE,0,0,TRUE,TRUE,2966003,0,0,1,3,3,0,4,0
