name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Maxaron Lexilon,591283737,2909008,3761096,4535917,0,14,0,3082309,378309,2,1,false,false,0,0,false,false,3382787,2530699,378309,4,4,,,,
Sultan2309,938542548,1822474,2990369,20872586,33,31,0,10606177,4827677,5,1,true,true,1522,33976,false,false,0,0,0,3,4,4,,,1
Exeel,184344456,2781513,3781814,576542,6,0,0,100249,100249,0,1,false,false,0,0,false,false,3681565,2681264,100249,,,,,,
BabyYodaHitta,629856937,1208101,1792286,15419973,6,24,0,7431970,3005470,4,1,true,true,0,85932,false,false,0,0,0,3,4,,,,1
The Wall,947443938,2067857,3165424,12269880,4,15,0,11961687,5273187,6,1,true,true,52008,0,true,true,0,0,0,3,3,4,4,0,1
SloppySaberFlavor,671337993,2495395,3505504,7781131,30,10,0,98033,98033,0,1,false,false,0,0,false,false,3407471,2397362,98033,,,,,,
wamakima5004,556569861,2661887,3564862,19243700,0,33,0,10596194,3907694,5,1,false,true,0,0,true,false,0,2319055,0,3,3,4,4,,1
Chaunce,492994246,2798196,3817436,26373975,7,38,0,12027810,6619810,4,1,true,true,124533,92830,true,false,0,0,0,4,4,4,4,,
Zlada14,825875376,2577649,3516859,9447100,0,20,0,92987,92987,0,1,false,false,0,0,false,false,3423872,2484662,92987,,,,,,
M1TTH,124849497,1979741,2518551,8303754,1,9,0,5222551,2518551,2,1,false,true,0,0,false,false,0,1979741,0,4,4,,,,
