name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Maxaron Lexilon,591283737,2909008,3761096,1453608,0,6,0,0,0,0,0,false,false,0,0,false,false,3761096,2909008,0,,,,,,,
Sultan2309,938542548,1822474,2990369,10266409,30,19,0,4395723,3315723,1,0,false,true,311226,325712,false,false,0,1497120,0,,,,,,,
Exeel,184344456,2781513,3781814,476293,6,0,0,354962,354962,0,1,false,false,143410,111303,false,false,3426852,2426551,354962,,,,,,,
BabyYodaHitta,629856937,1208101,1792286,7988003,2,16,0,4610913,1538013,3,1,true,false,0,45097,false,false,1462374,0,0,,,,,,,
The Wall,947443938,2067857,3165424,308193,3,0,0,200216,200216,0,1,false,false,62578,39229,false,false,2965208,1867641,200216,,,,,,,
SloppySaberFlavor,671337993,2495395,3505504,7683098,30,10,0,7559905,3178405,5,1,true,false,547397,263183,false,true,2822494,0,0,,,,,,0,0
wamakima5004,556569861,2661887,3564862,8647506,0,18,0,8546969,3566969,5,1,false,true,0,0,true,false,0,2659780,0,3,3,4,4,4,,
Chaunce,492994246,2798196,3817436,14346165,1,22,0,14239239,6617739,7,1,true,true,0,22137,true,true,0,0,0,4,4,4,4,4,1,1
Zlada14,825875376,2577649,3516859,9354113,0,20,0,9240859,3516859,5,0,false,true,0,0,true,false,0,2577649,0,4,4,4,4,4,,
M1TTH,124849497,1979741,2518551,3081203,1,1,0,3081203,2008703,1,0,true,false,0,28962,false,false,2489589,0,0,,,,,,,1
