Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Japolock,137256197,55813574,8454584,11010667,16700796,19647527,4,5,5,6,69,16,20,14,19,4,4,4,4,4,4,4,4,4,0,0,4,4,4,0,1,1,4,4,4,4,2,1,24,0,0,20,4,1,0,0,0,1
SotDO,815682328,34678416,135729,1548147,17016918,15977622,0,1,6,6,36,0,4,18,14,0,0,0,0,0,0,0,0,4,0,0,4,4,4,4,1,1,2,3,3,4,1,1,6,0,0,0,6,0,0,0,0,0
BlackMamba,259921674,54320634,7081193,14544797,16160797,16533847,4,7,6,6,73,16,22,18,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,1,1,3,0,2,1,0,0,0,0,0,0
Revanchist,852762117,14932659,122970,101831,101831,14606027,0,0,0,6,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,1,5,0,0,0,5,0,0,0,0,0
á¹ªÑ¦ DerHesse1505,296684579,54632903,7501559,13385725,16788071,16957548,4,7,6,6,72,16,22,18,16,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,2,1,23,0,19,3,1,0,0,0,0,0
Savage1bat,732694944,16281596,127582,105264,105264,15943486,0,0,0,6,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,1,7,0,0,0,7,0,0,0,0,0
Gryphix,997239157,43468898,7940006,15734402,15996829,3797661,4,7,6,3,60,16,22,14,8,4,4,4,4,4,4,4,4,4,1,1,4,4,4,0,1,1,4,4,0,0,0,0,8,0,0,0,8,0,0,0,0,0
Seeya,569523671,8391318,119332,99916,99916,8072154,0,0,0,5,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,4,0,0,0,4,0,0,0,0,0
Z Xm,435886464,23909092,128904,8139466,108327,15532395,0,4,0,6,24,0,10,0,14,0,0,0,0,4,0,0,0,4,1,1,0,0,0,0,0,0,2,3,4,4,0,1,4,0,4,0,0,0,0,0,0,0
Kaytee Glopio,798445437,30077858,117167,9085171,9465205,11410315,0,7,4,5,53,0,22,16,15,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,0,0,1,4,4,4,2,0,6,0,0,0,6,0,0,0,0,0
TinyBubbles,716417922,13711319,130856,995988,107254,12477221,0,0,0,5,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,2,0,42,0,30,0,12,0,0,0,0,0
OttoVonGens,994659641,37454839,128730,10875308,10559704,15891097,0,5,4,5,49,0,20,16,13,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,0,0,1,9,0,0,0,9,0,0,0,0,0
Tornado,975827772,28325200,128380,5091223,9114375,13991222,0,2,4,6,32,0,2,16,14,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,0,0,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0
Chaunce,492994246,36107692,114908,10262409,9946409,15783966,0,5,4,6,49,0,20,16,13,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,2,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0
Deadly F A R T,736639474,25860261,143025,6535501,7143315,12038420,0,5,4,5,51,0,20,16,15,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,3,3,4,4,1,0,32,0,0,27,5,1,0,0,0,1
MINI Zan Lucian,617569541,48039466,6265047,15953936,17569936,8250547,2,7,6,5,56,7,22,18,9,3,4,0,0,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Hulkster,691769393,32150227,117470,13461564,4501479,14069714,0,5,3,6,43,0,20,12,11,0,0,0,0,4,4,4,4,4,0,0,4,4,4,0,0,0,2,4,4,0,0,1,6,0,0,0,6,0,0,0,0,0
Jables,996614779,21290207,113040,10125505,95107,10956555,0,5,0,5,35,0,20,0,15,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Jed1Mast3rDallas,484789943,17267938,122870,98665,3094590,13951813,0,0,2,6,22,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0
Baxston Kane,473373554,41398453,118182,10397360,14178451,16704460,0,5,4,6,48,0,20,13,15,0,0,0,0,4,4,4,4,4,0,0,4,4,4,0,0,1,2,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0
