name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
joker,976597667,1999171,3014919,711643,0,3,0,711643,211643,1,1,FALSE,FALSE,0,0,FALSE,TRUE,2803276,0,0,3,,,
Gryphix,997239157,2722970,3895036,3234207,0,14,0,3234207,650207,4,1,FALSE,FALSE,0,0,TRUE,TRUE,3244829,0,0,3,3,4,4
LGuy 21,261187434,2617050,3652802,1967624,0,8,0,1967624,383624,2,1,FALSE,FALSE,0,0,FALSE,TRUE,3269178,0,0,4,4,,
Plucky Haydon,924737972,2476433,3544979,3553149,0,15,0,3553149,677149,4,1,FALSE,FALSE,0,0,TRUE,TRUE,2867830,0,0,3,4,4,4
Zlada14,825875376,2564534,3474883,5850883,0,12,0,5850883,3474883,3,1,FALSE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,4,
Theflavorgreen,416984533,1980916,3164574,2513442,0,12,0,2513442,423942,4,0,FALSE,FALSE,0,0,TRUE,TRUE,2740632,0,0,2,3,3,4
Chaunce,492994246,2761846,3674361,106926,0,0,0,106926,106926,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3567435,0,0,,,,
wamakima5004,556569861,2549908,3507278,100339,0,0,0,100339,100339,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3406939,0,0,,,,
Wolfman314,144353549,2640605,3571527,3571527,0,0,0,3571527,3571527,0,1,FALSE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,
Maxaron Lexilon,591283737,2795325,3629873,112244,0,0,0,112244,112244,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3517629,0,0,,,,
