Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Sultan2309,938542548,49065629,11116142,11240035,13155005,13554447,4,6,5,6,60,16,14,16,14,4,4,4,4,0,3,4,4,0,3,0,4,4,4,4,0,2,3,4,2,3,0,64,19,12,18,15,0,0,0,0,0
JustinAlexander11,283842274,55275594,12412775,14519790,14055543,14287486,5,5,4,4,59,14,18,14,13,3,3,4,4,0,4,4,4,4,2,0,3,3,4,4,0,4,4,4,0,1,0,1,0,0,1,0,0,0,0,0,0
Anubis,499615124,34784773,14197166,1161939,10859282,8566386,5,2,3,2,37,16,2,12,7,4,4,4,3,1,0,0,0,0,2,0,4,4,0,4,0,3,4,0,0,0,0,6,3,0,0,3,0,0,0,0,0
ṪѦ DerHesse1505,296684579,56352760,12140854,14389385,15244847,14577674,5,5,5,5,58,13,18,14,13,1,4,4,3,1,3,3,4,4,4,0,2,3,4,4,1,3,4,4,2,0,0,16,3,3,7,3,0,0,0,0,0
Shotwell,843553429,56858960,12593977,11226433,16432856,16605694,4,3,5,5,46,11,6,14,15,4,4,0,3,0,3,3,0,0,0,0,3,3,3,4,1,3,4,4,1,3,0,15,6,5,4,0,0,0,0,0,0
Kaytee Glopio,798445437,53765207,12193218,10990683,14510814,16070492,5,3,5,6,55,15,9,13,18,3,3,4,4,1,4,4,0,0,0,1,4,4,0,4,1,3,4,4,2,4,1,7,0,0,5,2,1,0,0,1,0
SotDO,815682328,48601889,10870982,10399567,13380105,13951235,5,3,4,5,38,8,7,12,11,3,0,0,4,1,3,4,0,0,0,0,4,4,0,4,0,3,3,0,2,3,0,14,1,7,6,0,0,0,0,0,0
PDXwing,442735849,54618290,10427990,14794391,16716944,12678965,4,5,5,5,47,6,17,16,8,1,3,0,2,0,1,4,4,4,4,0,3,4,4,4,1,1,3,0,1,3,0,15,8,2,4,1,1,0,0,1,0
Chaunce,492994246,56102073,12432053,13306728,15732541,14630751,4,6,5,4,54,14,14,14,12,3,3,4,4,0,1,2,4,4,3,0,1,4,4,4,1,3,4,0,2,3,0,1,0,0,0,1,0,0,0,0,0
Dalu,569934839,52391078,12017318,14922773,10047576,15403411,5,5,4,5,61,14,20,12,15,2,4,4,4,0,4,4,4,4,4,0,4,4,0,4,0,3,3,4,2,3,0,13,1,9,0,3,0,0,0,0,0
Nom,884121445,61991877,13543741,15037153,17400323,16010660,4,5,5,6,64,16,16,17,15,4,4,4,4,0,3,4,4,0,4,1,4,4,4,4,1,3,4,4,1,3,0,1,0,1,0,0,1,0,1,0,0
Revanchist,852762117,51073294,7605023,14452175,15430804,13585292,4,6,5,5,60,11,20,16,13,3,4,0,4,0,4,4,4,4,4,0,3,4,4,4,1,2,3,4,1,3,0,8,0,3,3,2,0,0,0,0,0
Robbie Brady,349451219,50089313,12687112,4599138,16549783,13322763,5,2,5,6,45,13,1,23,8,3,3,4,2,1,0,0,0,0,0,1, ?, ?, ?, ?, ?,1,3,0,2,2,0,11,0,6,1,4,0,0,0,0,0
ExcellentNut,946916445,59966023,14551919,15909670,13909967,15594467,5,6,3,5,59,17,19,11,12,4,4,4,4,1,4,4,4,4,3,0,3,4,0,4,0,3,4,0,2,3,0,14,0,8,1,5,0,0,0,0,0
BladeBR,354754647,64605618,14282684,16521659,17593023,16208252,5,6,5,6,69,17,20,17,15,4,4,4,4,1,4,4,4,4,3,1,4,4,4,4,1,3,4,4,1,3,0,5,0,1,1,3,1,0,0,1,0
Gryphix,997239157,60631745,13425042,14724478,16211868,16270357,5,6,5,6,64,16,18,15,15,3,4,4,4,1,3,4,4,4,3,0,2,4,4,4,1,2,4,4,2,3,0,29,0,17,1,11,0,0,0,0,0
BlackMamba,259921674,49995350,12434825,10598425,13592675,13369425,5,3,5,3,47,17,9,12,9,4,4,4,4,1,4,4,0,0,0,1,3,4,0,4,1,4,4,0,0,0,1,5,0,0,2,3,0,0,0,0,0
2girls1capitalship,119384541,64092610,14497301,16716328,17086131,15792850,5,6,5,6,67,16,19,15,17,3,4,4,4,1,4,4,4,4,2,1,3,3,4,4,1,4,4,4,1,3,1,18,0,10,3,5,1,0,0,1,0
Hulkster,691769393,53395015,13351293,12408449,13236853,14398420,5,4,5,5,53,17,12,12,12,4,4,4,4,1,4,4,0,0,4,0,4,4,0,4,0,3,4,0,2,3,0,27,0,19,0,8,1,1,0,0,0
JacenCaedus,634487631,54095592,13183626,10972248,17016918,12922800,5,3,5,5,50,16,8,17,9,4,4,4,4,0,4,4,0,0,0,0,4,4,4,4,1,2,4,0,1,2,0,33,0,5,5,23,0,0,0,0,0
Zlada14,825875376,47730007,8533751,11436024,13378083,14382149,4,3,4,5,49,14,11,11,13,2,4,4,4,0,3,4,0,0,4,0,3,3,0,4,1,4,4,0,2,3,0,2,0,0,0,2,0,0,0,0,0
Z Xm,435886464,52085783,8928948,10978687,16500437,15677711,4,3,5,5,50,13,8,16,13,2,3,4,4,0,4,4,0,0,0,0,3,4,4,4,1,1,2,4,2,4,0,13,0,0,1,12,0,0,0,0,0
TinyBubbles,716417922,50864607,3988197,15044484,14581877,17250049,3,5,5,5,62,11,19,15,17,3,4,0,4,0,3,4,4,4,4,0,3,4,4,4,0,3,4,4,2,4,0,10,0,4,2,4,0,0,0,0,0
Tornado,975827772,41212245,6553925,9363221,13289285,12005814,4,3,5,5,35,8,7,11,9,1,3,0,4,0,3,4,0,0,0,0,2,4,0,4,1,1,3,0,1,4,0,26,0,21,2,3,0,0,0,0,0
RC1262,165968689,42101723,10089318,15347755,16409080,255570,4,6,5,0,48,16,17,15,0,4,4,4,4,0,2,3,4,4,3,1,3,3,4,4,1,0,0,0,0,0,0,15,0,9,0,6,0,0,0,0,0
Jables,996614779,54440170,9452475,14096313,16539924,14351458,4,6,5,6,63,16,17,17,13,4,4,4,4,0,1,4,4,4,4,0,4,4,4,4,1,2,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0
Savage1bat,732694944,56599591,9974182,15748353,17719428,13157628,4,6,5,5,59,15,19,17,8,3,4,4,4,0,4,4,4,4,3,0,4,4,4,4,1,2,4,0,1,1,0,15,0,6,4,5,0,0,0,0,0
OttoVonGens,994659641,48286740,,15621125,16741364,15924251,,6,5,5,47,,19,15,13,0,0,0,0,0,4,4,4,4,3,0,2,4,4,4,1,4,4,0,2,3,0,30,,7,17,6,0,,0,0,0
